Date,AMZN
20230103,85.81999969482422
20230104,85.13999938964844
20230105,83.12000274658203
20230106,86.08000183105469
20230109,87.36000061035156
20230110,89.87000274658203
20230111,95.08999633789062
20230112,95.2699966430664
20230113,98.12000274658203
20230117,96.05000305175781
20230118,95.45999908447266
20230119,93.68000030517578
20230120,97.25
20230123,97.5199966430664
20230124,96.31999969482422
20230125,97.18000030517578
20230126,99.22000122070312
20230127,102.23999786376953
20230130,100.55000305175781
20230131,103.12999725341797
20230201,105.1500015258789
20230202,112.91000366210938
20230203,103.38999938964844
20230206,102.18000030517578
20230207,102.11000061035156
20230208,100.05000305175781
20230209,98.23999786376953
20230210,97.61000061035156
20230213,99.54000091552734
20230214,99.69999694824219
20230215,101.16000366210938
20230216,98.1500015258789
20230217,97.19999694824219
20230221,94.58000183105469
20230222,95.79000091552734
20230223,95.81999969482422
20230224,93.5
20230227,93.76000213623047
20230228,94.2300033569336
20230301,92.16999816894531
20230302,92.12999725341797
20230303,94.9000015258789
20230306,93.75
20230307,93.55000305175781
20230308,93.91999816894531
20230309,92.25
20230310,90.7300033569336
20230313,92.43000030517578
20230314,94.87999725341797
20230315,96.19999694824219
20230316,100.04000091552734
20230317,98.94999694824219
20230320,97.70999908447266
20230321,100.61000061035156
20230322,98.69999694824219
20230323,98.70999908447266
20230324,98.12999725341797
20230327,98.04000091552734
20230328,97.23999786376953
20230329,100.25
20230330,102.0
20230331,103.29000091552734
20230403,102.41000366210938
20230404,103.94999694824219
20230405,101.0999984741211
20230406,102.05999755859375
20230410,102.16999816894531
20230411,99.91999816894531
20230412,97.83000183105469
20230413,102.4000015258789
20230414,102.51000213623047
20230417,102.73999786376953
20230418,102.30000305175781
20230419,104.30000305175781
20230420,103.80999755859375
20230421,106.95999908447266
20230424,106.20999908447266
20230425,102.56999969482422
20230426,104.9800033569336
20230427,109.81999969482422
20230428,105.44999694824219
20230501,102.05000305175781
20230502,103.62999725341797
20230503,103.6500015258789
20230504,104.0
20230505,105.66000366210938
20230508,105.83000183105469
20230509,106.62000274658203
20230510,110.19000244140625
20230511,112.18000030517578
20230512,110.26000213623047
20230515,111.19999694824219
20230516,113.4000015258789
20230517,115.5
20230518,118.1500015258789
20230519,116.25
20230522,115.01000213623047
20230523,114.98999786376953
20230524,116.75
20230525,115.0
20230526,120.11000061035156
20230530,121.66000366210938
20230531,120.58000183105469
20230601,122.7699966430664
20230602,124.25
20230605,125.30000305175781
20230606,126.61000061035156
20230607,121.2300033569336
20230608,124.25
20230609,123.43000030517578
20230612,126.56999969482422
20230613,126.66000366210938
20230614,126.41999816894531
20230615,127.11000061035156
20230616,125.48999786376953
20230620,125.77999877929688
20230621,124.83000183105469
20230622,130.14999389648438
20230623,129.3300018310547
20230626,127.33000183105469
20230627,129.17999267578125
20230628,129.0399932861328
20230629,127.9000015258789
20230630,130.36000061035156
20230703,130.22000122070312
20230705,130.3800048828125
20230706,128.36000061035156
20230707,129.77999877929688
20230710,127.12999725341797
20230711,128.77999877929688
20230712,130.8000030517578
20230713,134.3000030517578
20230714,134.67999267578125
20230717,133.55999755859375
20230718,132.8300018310547
20230719,135.36000061035156
20230720,129.9600067138672
20230721,130.0
20230724,128.8000030517578
20230725,129.1300048828125
20230726,128.14999389648438
20230727,128.25
20230728,132.2100067138672
20230731,133.67999267578125
20230801,131.69000244140625
20230802,128.2100067138672
20230803,128.91000366210938
20230804,139.57000732421875
20230807,142.22000122070312
20230808,139.94000244140625
20230809,137.85000610351562
20230810,138.55999755859375
20230811,138.41000366210938
20230814,140.57000732421875
20230815,137.6699981689453
20230816,135.07000732421875
20230817,133.97999572753906
20230818,133.22000122070312
20230821,134.67999267578125
20230822,134.25
20230823,135.52000427246094
20230824,131.83999633789062
20230825,133.25999450683594
20230828,133.13999938964844
20230829,134.91000366210938
20230830,135.07000732421875
20230831,138.00999450683594
20230901,138.1199951171875
20230905,137.27000427246094
20230906,135.36000061035156
20230907,137.85000610351562
20230908,138.22999572753906
20230911,143.10000610351562
20230912,141.22999572753906
20230913,144.85000610351562
20230914,144.72000122070312
20230915,140.38999938964844
20230918,139.97999572753906
20230919,137.6300048828125
20230920,135.2899932861328
20230921,129.3300018310547
20230922,129.1199951171875
20230925,131.27000427246094
20230926,125.9800033569336
20230927,125.9800033569336
20230928,125.9800033569336
20230929,127.12000274658203
20231002,129.4600067138672
20231003,124.72000122070312
20231004,127.0
20231005,125.95999908447266
20231006,127.95999908447266
20231009,128.25999450683594
20231010,129.47999572753906
20231011,131.8300018310547
20231012,132.3300018310547
20231013,129.7899932861328
20231016,132.5500030517578
20231017,131.47000122070312
20231018,128.1300048828125
20231019,128.39999389648438
20231020,125.16999816894531
20231023,126.55999755859375
20231024,128.55999755859375
20231025,121.38999938964844
20231026,119.56999969482422
20231027,127.73999786376953
20231030,132.7100067138672
20231031,133.08999633789062
20231101,137.0
20231102,138.07000732421875
20231103,138.60000610351562
20231106,139.74000549316406
20231107,142.7100067138672
20231108,142.0800018310547
20231109,140.60000610351562
20231110,143.55999755859375
20231113,142.58999633789062
20231114,145.8000030517578
20231115,143.1999969482422
20231116,142.8300018310547
20231117,145.17999267578125
20231120,146.1300048828125
20231121,143.89999389648438
20231122,146.7100067138672
20231124,146.74000549316406
20231127,147.72999572753906
20231128,147.02999877929688
20231129,146.32000732421875
20231130,146.08999633789062
20231201,147.02999877929688
20231204,144.83999633789062
20231205,146.8800048828125
20231206,144.52000427246094
20231207,146.8800048828125
20231208,147.4199981689453
20231211,145.88999938964844
20231212,147.47999572753906
20231213,148.83999633789062
20231214,147.4199981689453
20231215,149.97000122070312
20231218,154.07000732421875
20231219,153.7899932861328
20231220,152.1199951171875
20231221,153.83999633789062
20231222,153.4199981689453
20231226,153.41000366210938
20231227,153.33999633789062
20231228,153.3800048828125
20231229,151.94000244140625
20240102,149.92999267578125
20240103,148.47000122070312
20240104,144.57000732421875
20240105,145.24000549316406
20240108,149.10000610351562
20240109,151.3699951171875
20240110,153.72999572753906
20240111,155.17999267578125
20240112,154.6199951171875
20240116,153.16000366210938
20240117,151.7100067138672
20240118,153.5
20240119,155.33999633789062
20240122,154.77999877929688
20240123,156.02000427246094
20240124,156.8699951171875
20240125,157.75
20240126,159.1199951171875
20240129,161.25999450683594
20240130,159.0
20240131,155.1999969482422
20240201,159.27999877929688
20240202,171.80999755859375
20240205,170.30999755859375
20240206,169.14999389648438
20240207,170.52999877929688
20240208,169.83999633789062
20240209,174.4499969482422
20240212,172.33999633789062
20240213,168.63999938964844
20240214,170.97999572753906
20240215,169.8000030517578
20240216,169.50999450683594
20240220,167.0800018310547
20240221,168.58999633789062
20240222,174.5800018310547
20240223,174.99000549316406
20240226,174.72999572753906
20240227,173.5399932861328
20240228,173.16000366210938
20240229,176.75999450683594
20240301,178.22000122070312
20240304,177.5800018310547
20240305,174.1199951171875
20240306,173.50999450683594
20240307,176.82000732421875
20240308,175.35000610351562
20240311,171.9600067138672
20240312,175.38999938964844
20240313,176.55999755859375
20240314,178.75
20240315,174.4199981689453
20240318,174.47999572753906
20240319,175.89999389648438
20240320,178.14999389648438
20240321,178.14999389648438
20240322,178.8699951171875
20240325,179.7100067138672
20240326,178.3000030517578
20240327,179.8300018310547
20240328,180.3800048828125
20240401,180.97000122070312
20240402,180.69000244140625
20240403,182.41000366210938
20240404,180.0
20240405,185.07000732421875
20240408,185.19000244140625
20240409,185.6699981689453
20240410,185.9499969482422
20240411,189.0500030517578
20240412,186.1300048828125
20240415,183.6199951171875
20240416,183.32000732421875
20240417,181.27999877929688
20240418,179.22000122070312
20240419,174.6300048828125
20240422,177.22999572753906
20240423,179.5399932861328
20240424,176.58999633789062
20240425,173.6699981689453
20240426,179.6199951171875
20240429,180.9600067138672
20240430,175.0
20240501,179.0
20240502,184.72000122070312
20240503,186.2100067138672
20240506,188.6999969482422
20240507,188.75999450683594
20240508,188.0
20240509,189.5
20240510,187.47999572753906
20240513,186.57000732421875
20240514,187.07000732421875
20240515,185.99000549316406
20240516,183.6300048828125
20240517,184.6999969482422
20240520,183.5399932861328
20240521,183.14999389648438
20240522,183.1300048828125
20240523,181.0500030517578
20240524,180.75
20240528,182.14999389648438
20240529,182.02000427246094
20240530,179.32000732421875
20240531,176.44000244140625
20240603,178.33999633789062
20240604,179.33999633789062
20240605,181.27999877929688
20240606,185.0
20240607,184.3000030517578
20240610,187.05999755859375
20240611,187.22999572753906
20240612,186.88999938964844
20240613,183.8300018310547
20240614,183.66000366210938
20240617,184.05999755859375
20240618,182.80999755859375
20240620,186.10000610351562
20240621,189.0800018310547
20240624,185.57000732421875
20240625,186.33999633789062
20240626,193.61000061035156
20240627,197.85000610351562
20240628,193.25
20240701,197.1999969482422
20240702,200.0
20240703,197.58999633789062
20240705,200.0
20240708,199.2899932861328
20240709,199.33999633789062
20240710,199.7899932861328
20240711,195.0500030517578
20240712,194.49000549316406
20240715,192.72000122070312
20240716,193.02000427246094
20240717,187.92999267578125
20240718,183.75
20240719,183.1300048828125
20240722,182.5500030517578
20240723,186.41000366210938
20240724,180.8300018310547
20240725,179.85000610351562
20240726,182.5
20240729,183.1999969482422
20240730,181.7100067138672
20240731,186.97999572753906
20240801,184.07000732421875
20240802,167.89999389648438
20240805,161.02000427246094
20240806,161.92999267578125
20240807,162.77000427246094
20240808,165.8000030517578
20240809,166.94000244140625
20240812,166.8000030517578
20240813,170.22999572753906
20240814,170.10000610351562
20240815,177.58999633789062
20240816,177.05999755859375
20240819,178.22000122070312
20240820,178.8800048828125
20240821,180.11000061035156
20240822,176.1300048828125
20240823,177.0399932861328
20240826,175.5
20240827,173.1199951171875
20240828,170.8000030517578
20240829,172.1199951171875
20240830,178.5
20240903,176.25
20240904,173.3300018310547
20240905,177.88999938964844
20240906,171.38999938964844
20240909,175.39999389648438
20240910,179.5500030517578
20240911,184.52000427246094
20240912,187.0
20240913,186.49000549316406
20240916,184.88999938964844
20240917,186.8800048828125
20240918,186.42999267578125
20240919,189.8699951171875
20240920,191.60000610351562
20240923,193.8800048828125
20240924,193.9600067138672
20240925,192.52999877929688
20240926,191.16000366210938
20240927,187.97000122070312
20240930,186.3300018310547
20241001,185.1300048828125
20241002,184.75999450683594
20241003,181.9600067138672
20241004,186.50999450683594
20241007,180.8000030517578
20241008,182.72000122070312
20241009,185.1699981689453
20241010,186.64999389648438
20241011,188.82000732421875
20241014,187.5399932861328
20241015,187.69000244140625
20241016,186.88999938964844
20241017,187.52999877929688
20241018,188.99000549316406
20241021,189.07000732421875
20241022,189.6999969482422
20241023,184.7100067138672
20241024,186.3800048828125
20241025,187.8300018310547
20241028,188.38999938964844
20241029,190.8300018310547
20241030,192.72999572753906
20241031,186.39999389648438
20241101,197.92999267578125
20241104,195.77999877929688
20241105,199.5
20241106,207.08999633789062
20241107,210.0500030517578
20241108,208.17999267578125
20241111,206.83999633789062
20241112,208.91000366210938
20241113,214.10000610351562
20241114,211.47999572753906
20241115,202.61000061035156
20241118,201.6999969482422
20241119,204.61000061035156
20241120,202.8800048828125
20241121,198.3800048828125
20241122,197.1199951171875
20241125,201.4499969482422
20241126,207.86000061035156
20241127,205.74000549316406
20241129,207.88999938964844
20241202,210.7100067138672
20241203,213.44000244140625
20241204,218.16000366210938
20241205,220.5500030517578
20241206,227.02999877929688
