Date,MRNA
20230103,178.99000549316406
20230104,177.36000061035156
20230105,173.50999450683594
20230106,180.35000610351562
20230109,183.9499969482422
20230110,189.64999389648438
20230111,186.63999938964844
20230112,188.05999755859375
20230113,192.0
20230117,190.69000244140625
20230118,197.02000427246094
20230119,190.3800048828125
20230120,193.97999572753906
20230123,196.94000244140625
20230124,196.75999450683594
20230125,193.07000732421875
20230126,193.24000549316406
20230127,189.35000610351562
20230130,180.8699951171875
20230131,176.05999755859375
20230201,174.3000030517578
20230202,176.35000610351562
20230203,173.25
20230206,170.27000427246094
20230207,171.05999755859375
20230208,164.33999633789062
20230209,164.47999572753906
20230210,169.27999877929688
20230213,171.47999572753906
20230214,175.6199951171875
20230215,177.27999877929688
20230216,172.30999755859375
20230217,166.60000610351562
20230221,160.08999633789062
20230222,158.1699981689453
20230223,147.57000732421875
20230224,139.25999450683594
20230227,138.27000427246094
20230228,138.80999755859375
20230301,135.66000366210938
20230302,137.86000061035156
20230303,143.1999969482422
20230306,144.02999877929688
20230307,141.0500030517578
20230308,142.0800018310547
20230309,137.36000061035156
20230310,138.2899932861328
20230313,147.89999389648438
20230314,151.27999877929688
20230315,149.60000610351562
20230316,151.77999877929688
20230317,150.02000427246094
20230320,154.52000427246094
20230321,152.10000610351562
20230322,148.17999267578125
20230323,149.4199981689453
20230324,150.8800048828125
20230327,148.35000610351562
20230328,146.9199981689453
20230329,148.8000030517578
20230330,147.44000244140625
20230331,153.5800018310547
20230403,159.47999572753906
20230404,156.52000427246094
20230405,154.61000061035156
20230406,158.27000427246094
20230410,160.14999389648438
20230411,155.25
20230412,155.55999755859375
20230413,160.52999877929688
20230414,157.10000610351562
20230417,143.97000122070312
20230418,142.6300048828125
20230419,142.82000732421875
20230420,141.13999938964844
20230421,140.85000610351562
20230424,138.13999938964844
20230425,134.89999389648438
20230426,130.72000122070312
20230427,130.07000732421875
20230428,132.88999938964844
20230501,133.39999389648438
20230502,131.39999389648438
20230503,130.13999938964844
20230504,134.3300018310547
20230505,137.0399932861328
20230508,131.75
20230509,133.77000427246094
20230510,130.8300018310547
20230511,128.41000366210938
20230512,129.3000030517578
20230515,130.25999450683594
20230516,125.11000061035156
20230517,125.56999969482422
20230518,125.33000183105469
20230519,126.23999786376953
20230522,126.73999786376953
20230523,137.75
20230524,131.58999633789062
20230525,126.47000122070312
20230526,126.23999786376953
20230530,128.88999938964844
20230531,127.70999908447266
20230601,128.52000427246094
20230602,130.50999450683594
20230605,128.89999389648438
20230606,126.9000015258789
20230607,125.61000061035156
20230608,124.94000244140625
20230609,123.26000213623047
20230612,123.5199966430664
20230613,127.9800033569336
20230614,126.05000305175781
20230615,129.97999572753906
20230616,128.72999572753906
20230620,124.2300033569336
20230621,121.06999969482422
20230622,120.4800033569336
20230623,118.5
20230626,120.41000366210938
20230627,120.66999816894531
20230628,123.0
20230629,122.11000061035156
20230630,121.5
20230703,121.7300033569336
20230705,123.54000091552734
20230706,118.29000091552734
20230707,118.87000274658203
20230710,123.08999633789062
20230711,122.12999725341797
20230712,125.91999816894531
20230713,126.61000061035156
20230714,121.3499984741211
20230717,122.5999984741211
20230718,122.61000061035156
20230719,125.16999816894531
20230720,124.7699966430664
20230721,126.43000030517578
20230724,123.01000213623047
20230725,121.87000274658203
20230726,120.6500015258789
20230727,118.51000213623047
20230728,118.66000366210938
20230731,117.66000366210938
20230801,113.94000244140625
20230802,110.22000122070312
20230803,109.94999694824219
20230804,108.19000244140625
20230807,101.19999694824219
20230808,99.73999786376953
20230809,101.81999969482422
20230810,100.27999877929688
20230811,101.48999786376953
20230814,100.0
20230815,96.41000366210938
20230816,98.91999816894531
20230817,106.23999786376953
20230818,101.62000274658203
20230821,111.08000183105469
20230822,116.23999786376953
20230823,115.45999908447266
20230824,112.6500015258789
20230825,111.93000030517578
20230828,113.83000183105469
20230829,115.98999786376953
20230830,116.62000274658203
20230831,113.06999969482422
20230901,112.55999755859375
20230905,109.36000061035156
20230906,108.23999786376953
20230907,108.3499984741211
20230908,107.63999938964844
20230911,105.80000305175781
20230912,105.23999786376953
20230913,108.58999633789062
20230914,112.80999755859375
20230915,114.58999633789062
20230918,104.13999938964844
20230919,106.73999786376953
20230920,103.52999877929688
20230921,100.2300033569336
20230922,99.98999786376953
20230925,98.16999816894531
20230926,98.12000274658203
20230927,99.44000244140625
20230928,100.2699966430664
20230929,103.29000091552734
20231002,103.30999755859375
20231003,103.08000183105469
20231004,104.26000213623047
20231005,102.97000122070312
20231006,103.87999725341797
20231009,101.83999633789062
20231010,104.43000030517578
20231011,102.76000213623047
20231012,100.77999877929688
20231013,98.30000305175781
20231016,91.94000244140625
20231017,86.33000183105469
20231018,86.01000213623047
20231019,82.37000274658203
20231020,80.4000015258789
20231023,78.63999938964844
20231024,79.76000213623047
20231025,76.76000213623047
20231026,75.9800033569336
20231027,71.91000366210938
20231030,74.06999969482422
20231031,75.95999908447266
20231101,76.19999694824219
20231102,71.2300033569336
20231103,77.52999877929688
20231106,72.06999969482422
20231107,73.66000366210938
20231108,71.33999633789062
20231109,69.51000213623047
20231110,70.05000305175781
20231113,70.20999908447266
20231114,74.0999984741211
20231115,76.3499984741211
20231116,76.55000305175781
20231117,76.44000244140625
20231120,78.95999908447266
20231121,77.13999938964844
20231122,78.16999816894531
20231124,78.5199966430664
20231127,77.72000122070312
20231128,78.18000030517578
20231129,79.01000213623047
20231130,77.69999694824219
20231201,79.83000183105469
20231204,79.87000274658203
20231205,78.27999877929688
20231206,80.5999984741211
20231207,79.94999694824219
20231208,80.31999969482422
20231211,82.0
20231212,78.04000091552734
20231213,78.5999984741211
20231214,85.87000274658203
20231215,86.01000213623047
20231218,85.41999816894531
20231219,89.08999633789062
20231220,86.19000244140625
20231221,91.16000366210938
20231222,94.88999938964844
20231226,97.33000183105469
20231227,100.7300033569336
20231228,98.79000091552734
20231229,99.44999694824219
20240102,112.5
20240103,108.58000183105469
20240104,108.66000366210938
20240105,111.12000274658203
20240108,115.44000244140625
20240109,110.18000030517578
20240110,109.45999908447266
20240111,106.79499816894531
20240112,105.94999694824219
20240116,102.16000366210938
20240117,100.3499984741211
20240118,99.06999969482422
20240119,99.69999694824219
20240122,99.69999694824219
20240123,101.91999816894531
20240124,101.11000061035156
20240125,102.80999755859375
20240126,101.80999755859375
20240129,104.83999633789062
20240130,102.47000122070312
20240131,101.05000305175781
20240201,99.0199966430664
20240202,97.5
20240205,95.48999786376953
20240206,100.02999877929688
20240207,99.30000305175781
20240208,93.66000366210938
20240209,87.41000366210938
20240212,89.0
20240213,85.37000274658203
20240214,85.94999694824219
20240215,91.13999938964844
20240216,88.37000274658203
20240220,86.98999786376953
20240221,87.58999633789062
20240222,99.44000244140625
20240223,96.45999908447266
20240226,94.0199966430664
20240227,96.19999694824219
20240228,97.4800033569336
20240229,92.23999786376953
20240301,95.05999755859375
20240304,96.0
20240305,95.55999755859375
20240306,98.0999984741211
20240307,99.4800033569336
20240308,103.02999877929688
20240311,111.9800033569336
20240312,110.43000030517578
20240313,106.51000213623047
20240314,103.45999908447266
20240315,103.8499984741211
20240318,104.26000213623047
20240319,105.11000061035156
20240320,103.08000183105469
20240321,104.08999633789062
20240322,105.43000030517578
20240325,110.37999725341797
20240326,107.41000366210938
20240327,110.58999633789062
20240328,106.55999755859375
20240401,105.5999984741211
20240402,103.61000061035156
20240403,101.20999908447266
20240404,102.2699966430664
20240405,102.87999725341797
20240408,105.08999633789062
20240409,111.5999984741211
20240410,107.13999938964844
20240411,107.01000213623047
20240412,105.13999938964844
20240415,103.86000061035156
20240416,103.79000091552734
20240417,103.44000244140625
20240418,102.0
20240419,101.41000366210938
20240422,104.45999908447266
20240423,107.88999938964844
20240424,108.8499984741211
20240425,106.18000030517578
20240426,107.97000122070312
20240429,111.62000274658203
20240430,110.30999755859375
20240501,111.45999908447266
20240502,125.58999633789062
20240503,125.0
20240506,122.12999725341797
20240507,121.06999969482422
20240508,121.88999938964844
20240509,122.69000244140625
20240510,117.30999755859375
20240513,125.66999816894531
20240514,128.32000732421875
20240515,129.05999755859375
20240516,132.67999267578125
20240517,132.89999389648438
20240520,141.00999450683594
20240521,143.69000244140625
20240522,163.3300018310547
20240523,164.00999450683594
20240524,166.61000061035156
20240528,153.1999969482422
20240529,147.9199981689453
20240530,151.49000549316406
20240531,142.5500030517578
20240603,147.82000732421875
20240604,145.33999633789062
20240605,154.83999633789062
20240606,154.69000244140625
20240607,151.00999450683594
20240610,148.58999633789062
20240611,148.38999938964844
20240612,147.72000122070312
20240613,145.22999572753906
20240614,140.02999877929688
20240617,137.89999389648438
20240618,133.27000427246094
20240620,134.39999389648438
20240621,133.39999389648438
20240624,137.0
20240625,137.60000610351562
20240626,122.44999694824219
20240627,121.18000030517578
20240628,118.75
20240701,115.94999694824219
20240702,117.06999969482422
20240703,115.94999694824219
20240705,118.31999969482422
20240708,116.44999694824219
20240709,116.06999969482422
20240710,117.44000244140625
20240711,122.81999969482422
20240712,121.45999908447266
20240715,121.4800033569336
20240716,125.13999938964844
20240717,124.05500030517578
20240718,121.31999969482422
20240719,121.13999938964844
20240722,122.5
20240723,121.25
20240724,118.19000244140625
20240725,120.4000015258789
20240726,122.11000061035156
20240729,122.16999816894531
20240730,118.83999633789062
20240731,119.22000122070312
20240801,94.16999816894531
20240802,86.58000183105469
20240805,83.75
20240806,82.30000305175781
20240807,81.55000305175781
20240808,84.31999969482422
20240809,84.93000030517578
20240812,81.29000091552734
20240813,82.9000015258789
20240814,82.25
20240815,86.62000274658203
20240816,86.83999633789062
20240819,89.95999908447266
20240820,86.94000244140625
20240821,86.6500015258789
20240822,81.04000091552734
20240823,82.44000244140625
20240826,81.66000366210938
20240827,78.9800033569336
20240828,78.36000061035156
20240829,77.58999633789062
20240830,77.4000015258789
20240903,72.94000244140625
20240904,72.48999786376953
20240905,73.44000244140625
20240906,72.88999938964844
20240909,76.61000061035156
20240910,79.27999877929688
20240911,79.51000213623047
20240912,69.68000030517578
20240913,68.27999877929688
20240916,69.16999816894531
20240917,71.98999786376953
20240918,69.86000061035156
20240919,68.0199966430664
20240920,65.69000244140625
20240923,64.13999938964844
20240924,63.939998626708984
20240925,63.63999938964844
20240926,63.93000030517578
20240927,65.75
20240930,66.83000183105469
20241001,63.93000030517578
20241002,63.15999984741211
20241003,61.06999969482422
20241004,60.20000076293945
20241007,58.720001220703125
20241008,58.38999938964844
20241009,58.86000061035156
20241010,56.83000183105469
20241011,58.290000915527344
20241014,57.72999954223633
20241015,57.310001373291016
20241016,57.459999084472656
20241017,54.81999969482422
20241018,54.099998474121094
20241021,53.79999923706055
20241022,53.400001525878906
20241023,53.38999938964844
20241024,52.79999923706055
20241025,53.09000015258789
20241028,54.79999923706055
20241029,55.220001220703125
20241030,54.720001220703125
20241031,54.36000061035156
20241101,54.630001068115234
20241104,53.540000915527344
20241105,53.290000915527344
20241106,51.810001373291016
20241107,50.279998779296875
20241108,46.83000183105469
20241111,42.75
20241112,43.470001220703125
20241113,42.13999938964844
20241114,39.77000045776367
20241115,36.849998474121094
20241118,39.5099983215332
20241119,37.290000915527344
20241120,36.939998626708984
20241121,38.25
20241122,41.11000061035156
20241125,43.65999984741211
20241126,42.04999923706055
20241127,43.38999938964844
20241129,43.060001373291016
20241202,44.2599983215332
20241203,42.58000183105469
20241204,41.630001068115234
20241205,42.939998626708984
20241206,44.439998626708984
